text,label
em soạn luôn danh sách các phòng ban được cấp phát laptop mới trong đợt này nha.,Soạn báo cáo
c Nga soạn gấp slide báo cáo thị trường để chiều trình board of directors nhé,Soạn báo cáo
Hậu approve bản prototype trên figma để sếp lấy đi pitching gọi vốn chiều nay,Phê duyệt
chị Xuyên check mail coi file thiết kế banner web c update hqua nha,Gửi/Trả lời email
"nhắc Tùng hoàn trả laptop cũ cho Nghĩa trong tuần này nhé, đã hết hạn dùng rồi",Tạo nhắc nhở
A Tuấn bảo là tụi nó thích nhóm nhỏ thôi nhe r hỏi a Sơn coi có tham gia không nhe m rảnh thì vô check lại r nhắn ổng nha,Giao việc
"mn đồng bộ lại về tiến độ dự án vào chiều thứ 6 nhé, 3h tại phòng họp B21",Lên lịch họp
Anh viết cái doc giải thích rõ hơn về kiến trúc microservices đợt này cho team dev dễ hiểu nha,Soạn báo cáo
bạn set up một buổi meeting để team QA thảo luận về test plan mới,Lên lịch họp
Trực approve bản build v2.1 trên testflight để e gửi khách hàng test thử,Phê duyệt
Hạ chuyển tiếp thư báo giá nguyên vật liệu đợt này cho phòng mua sắm đánh giá,Gửi/Trả lời email
em Hà viết bản tổng kết tuần gồm các điểm highlight gửi cho toàn nhóm nhé,Soạn báo cáo
Đức chạy script backup toàn bộ db khách hàng ném lên cloud trc 12h đêm nay cho an toàn,Tạo nhắc nhở
Ngân gửi mail thông báo cấp stock option cho list bcc đính kèm hướng dẫn luôn,Gửi/Trả lời email
Vy set lịch 1-1 vs bé Nhung intern t6 này 10h sáng để báo kết quả thử việc cho em nó nhen,Lên lịch họp
Em soạn mail giải thích cho đối tác lý do mình cần mời thêm chuyên gia vào cuộc họp này,Gửi/Trả lời email
Đặt phòng để team CSKH review tỉ lệ KH rời bỏ (churn rate) tháng rồi lúc 3h t5.,Lên lịch họp
Đặt phòng họp để ban giám đốc phỏng vấn vị trí head of mkt lúc 9h sáng thứ 4 nhe.,Lên lịch họp
Phượng lên lịch họp rút kinh nghiệm đợt chạy roadshow vừa rồi với team event chiều t6.,Lên lịch họp
bạn Hoa email t xin cái link github của module payment mới,Gửi/Trả lời email
Mail hỏi thẳng anh Toàn xem vụ này cần thông qua giám đốc ký không nha em,Gửi/Trả lời email
sếp Liên chốt cơ cấu thưởng tết âm lịch năm nay để kế toán tính toán,Phê duyệt
Khương alo list kh sắp hết hạn pm để nhắc gia hạn trc trưa nay nha e,Tạo nhắc nhở
Gửi cho anh số điện thoại của ông Phúc bên đó để anh trực tiếp gọi đòi nợ,Giao việc
Lan ới book cái ks mường thanh cho sếp đi đà nẵng trc 3h chiều để c chốt lịch bay nha,Tạo nhắc nhở
Lan ơi chuẩn bị bản tóm tắt chiến lược pitching cho buổi gặp ngân hàng đối tác thứ 6,Soạn báo cáo
Thảo xuống kho in tem nhãn cho lô hàng mỹ phẩm mới về trc 10h sáng,Tạo nhắc nhở
Minh ơi xem qua hợp đồng với sàn giao dịch và duyệt giúp t trước thứ 6 nhé,Phê duyệt
m hỏi thử xem Hưng cần bao nhiêu thời gian để hoàn thành xong cái task này,Giao việc
Yến ck đóng bhxh bhyt tháng này cho cơ quan thuế trc ngày 20 nha e k ăn phạt trễ nộp đó,Tạo nhắc nhở
Sếp coi lại mấy cái điều khoản chấm dứt hợp đồng vs bên vendor r confirm giùm e nha để e chốt vs bên pháp chế r làm thủ tục thanh toán cho họ luôn,Phê duyệt
Khoa chuyến đi phát quà từ thiện cho trẻ em vùng cao cuối tuần vừa rồi của công ty mình tổ chức rất thành công và để lại hình ảnh đẹp trong mắt công chúng đó em. chúng ta cần có số liệu cụ thể để đăng bài lên trang chủ công ty. em tổng hợp danh sách những người đóng góp và lập báo cáo kết quả chương trình từ thiện gửi cho ban truyền thông làm hình ảnh truyền thông nhé.,Soạn báo cáo
Lan gửi cái báo cáo tiến độ dự kiến của mấy gói update tháng sau nha để anh xem xong r duyệt sớm gửi bên khách hàng luôn,Phê duyệt
Vinh fwd cái thông tin test account của bên ETrade Canada cho a,Gửi/Trả lời email
a Phong duyệt báo giá thuê cây xanh trang trí văn phòng mới giúp e,Phê duyệt
"duyệt đề xuất mua laptop cho Ravi giúp t nhé, Nghĩa đã xác nhận có hàng rồi",Phê duyệt
em rep mail cho khách hàng xác nhận là bên mình đã nhận được hàng rồi nha,Gửi/Trả lời email
M vô check mail giùm t xem cái báo giá chi tiết mà thằng Sơn gửi đã cộng cả thuế chưa nhe để t còn cc cho bà Susan duyệt,Giao việc
em giao cái task thiết kế sân khấu này cho bạn Hoàng bên team media làm.,Giao việc
forward email thông báo lịch training onboarding tuần sau cho mấy bạn newbie luôn nha,Gửi/Trả lời email
c Hương hoàn thiện nốt cái file HDSD để tuần sau release nha,Giao việc
Phước tổng hợp báo cáo tỉ lệ đáp ứng thời gian giao hàng cam kết của bên GHTK Q4 đi,Soạn báo cáo
Sắp xếp lịch qua xưởng in xem bản proof của cuốn catalogue kỷ niệm 10 năm sáng thứ 6.,Lên lịch họp
dương lấy đường dẫn thư mục tài liệu quy trình vận hành gửi qua thư cho các trưởng ca,Gửi/Trả lời email
a Hùng rà soát lại mấy cái mail từ bộ phận hỗ trợ giúp e vs nha vì team mình k chắc là a Tuấn còn phụ trách việc này k,Giao việc
Minh Soạn thảo tiến độ phân phát POSM cho các đại lý khu vực miền nam Q3,Soạn báo cáo
Lượng duyệt cái báo cáo background check của bạn ứng viên vị trí trưởng phòng nha,Phê duyệt
em reply mail gửi feedback để c fwd cho bên pháp lý xem nha,Gửi/Trả lời email
Khoa ơi dạo này tao thấy mấy cái request từ ip lạ nã vào server nhiều vl. m rảnh vô check cái security log xem có bị ddos ko nha. nhớ làm r note lại tao trc thứ 6 để t báo cáo sếp.,Tạo nhắc nhở
mọi người nhớ phải có biên bản bàn giao chính thức nhe,Tạo nhắc nhở
Nhớ lịch họp chiều nay nha cả nhà ơi t có đính kèm file agenda trong mail đó,Tạo nhắc nhở
a ý viết biên bản ghi nhận lí do vì sao 3 khách B2B lớn ko chịu gia hạn hợp đồng,Soạn báo cáo
anh check lại mấy cái báo cáo phân tích đối thủ cạnh tranh đợt trước xem sao,Giao việc
Hằng tổng hợp danh sách các ý tưởng đạt giải trong cuộc thi hackathon nội bộ tuần trước đi,Soạn báo cáo
mua hộ t mấy hộp đĩa cd trắng nhe Sơn vì a sếp vừa bảo đợt này team mình phải tự mua để backup data dự án trước khi nghỉ lễ,Giao việc
confirm là tối nay team mình lôi hết bug ra fix lại r nhé,Phê duyệt
Yến gửi lại t file template hợp đồng lao động bản tiếng việt,Gửi/Trả lời email
a Dũng lo fix cái lỗi phát sinh khi người dùng k chỉ định sự kiện cho một bc đi vì a Sơn đang bị kẹt lúc tải ứng dụng do cái lỗi đó,Giao việc
Hóa đơn này gửi qua cho anh Kế Toán xử lý nhé,Giao việc
Gấm lập bảng chấm điểm bài test kĩ năng của dàn ứng viên backend đợt này nha,Soạn báo cáo
Trúc soạn file báo cáo so sánh chi phí điện nước của văn phòng mới so với văn phòng cũ,Soạn báo cáo
Đội vận hành phải tổ chức họp khẩn để đánh giá tình hình và sử dụng các công cụ nội bộ để khắc phục lỗi hệ thống cục bộ này,Giao việc
Anh Hiếu ghi vào báo cáo rằng mức giá của bản nâng cấp đắt hơn một chút nhưng nó hoàn toàn xứng đáng với những tính năng mà công ty cần,Soạn báo cáo
Lan ơi làm tài liệu trình chiếu tổng kết chiến dịch tiếp thị quý 4 gửi cho Philip trước thứ 3,Soạn báo cáo
Lan rep mail cho chị kế toán là dạ em có tham gia nha rồi nhớ dặn bả ghi chú lại phần ăn chay cho em với nhe do em đang kiêng thịt,Gửi/Trả lời email
Thảo brief tke cái banner sale sinh nhật lazada gửi design trc sáng mai lẹ e,Tạo nhắc nhở
sếp Sơn vô duyệt gấp cho e một cái tài khoản thử nghiệm trên tên miền mới nhe để e kịp tạo file hàng loạt test chức năng sáng nay,Phê duyệt
Nhung chia task cho các bạn vô test hệ thống trc khi deploy giùm c,Giao việc
Vỹ tổng hợp báo cáo tỉ lệ user tắt nhận thông báo (opt-out) sau đợt update app nha,Soạn báo cáo
Hân submit cái request xin sếp duyệt mã giảm giá 20% cho dịp noel trc trưa mai nha c,Tạo nhắc nhở
anh review lại code của cái hàm xử lý chuỗi này xem có bị dính lỗi gì không nha,Giao việc
"em Tuấn contact nhà cung cấp nhà cung cấp phần mềm hỏi giá bản quyền phần mềm mới giúp chị vs, gửi quote về trước thứ 5",Giao việc
Mai rep email nhờ ổng fwd lại cái mail lỡ tay xoá hqua giùm,Gửi/Trả lời email
Em Vy yêu cầu phối hợp vs đối tác chiến lược để đẩy nhanh tiến độ chương trình và đề xuất cập nhật lại bộ nhận diện thương hiệu nhằm tăng độ nhận diện,Giao việc
anh Phát thông báo rằng bộ phận kỹ sư ứng dụng đã đặt lịch họp với đội nghiên cứu để rà soát tình trạng xử lý các lỗi này,Lên lịch họp
Đôn xuất data làm báo cáo phân bổ chi phí xài server AWS cho từng phòng ban nha,Soạn báo cáo
sếp confirm danh sách ứng viên pass vòng CV để nhân sự gọi pv ạ,Phê duyệt
e qua chỗ a Tuấn liền để trao đổi trực tiếp r xin ý kiến đóng góp về mấy cái vấn đề tài khoản vs hợp đồng bảo hiểm,Lên lịch họp
"nhớ nộp báo cáo thuế trước 5h chiều thứ 6 nha, tối qua sếp nhắc rồi đó",Tạo nhắc nhở
c Lan set lịch họp thông báo c Vy đảm nhận vai trò liên hệ chính,Lên lịch họp
a Minh ơi phê duyệt chính thức bản phân tích hiệu quả đầu tư cho đề xuất thuê gian hàng triển lãm công nghệ nhé,Phê duyệt
Lan nhờ mấy chị bên hành chính confirm lại cái h đóng cửa văn phòng vào thứ năm vs thứ sáu nhe để a báo mọi người ở lại cày deadline,Giao việc
cuối tuần Quân nhớ chạy backup toàn bộ data trc sáng cn nhé,Tạo nhắc nhở
em soạn lại bảng giá cập nhật mới nhất cho các gói đào tạo rồi gửi chị nha,Soạn báo cáo
M hỏi a Minh xem t nên xử lý thế nào vs cái lỗi rớt mạng nhe nãy t có xem mà k hiểu gì nên k biết ổng định hướng ra sao,Giao việc
Tạo event họp giao ban đầu tuần cho các quản lý cấp trung lúc 8h30 sáng t2.,Lên lịch họp
sếp bảo Dũng set up cuộc gọi với bên Biogen tầm giữa 10h đi,Lên lịch họp
Vương chốt nhà cung cấp bao bì đợt này đi để kho kịp nhập hàng,Phê duyệt
Ni duyệt cái báo giá của bạn freelancer thiết kế bộ POSM cho chiến dịch tới giúp a,Phê duyệt
Duyên lập file excel log lại tổng số tiền hoàn cho khách bị lỗi đơn hàng tuần này,Soạn báo cáo
Tài làm file excel cập nhật thứ hạng từ khóa seo tháng này giùm c,Soạn báo cáo
Hỏi lại sếp Khang xem deadline chốt danh sách tham gia là hôm nào để c đi nhắc mọi người,Giao việc
Trường xuất log làm báo cáo tải server tuần vừa rồi trc buổi họp team,Soạn báo cáo
a nhớ set lịch nhắc bên hành chính bảo trì cái điện thoại ngoài sảnh mỗi tháng một lần nha k để lúc khách cần gọi lại hư thì kì lắm,Tạo nhắc nhở
